 file_name  line  avg_per_time   hits  total_time       graph                                                                                                         code
----------  ----  ------------  -----  ----------  ----------  -----------------------------------------------------------------------------------------------------------
./myapp.py   216           3.0      1           3                      return constants.VOTE_FAIL4_HTML
./myapp.py   217         1.165   3655        4258                  elif not form_base['keyword']:
./myapp.py   218           4.0      1           4                      return constants.VOTE_FAIL5_HTML
./myapp.py   219             0      0           0
./myapp.py   220         0.958   3654        3499                  cur.execute('INSERT INTO votes (user_id, candidate_id, keyword, vote_count) VALUES (%s, %s, %s, %s)', (
./myapp.py   221      2128.798   3654     7778627  ******              user['id'], candidate_id, unquote_plus(form_base['keyword']), int(form_base['vote_count'])
./myapp.py   222             0      0           0                  ))
./myapp.py   223         1.404   3654        5130                  return constants.VOTE_SUCCESS_HTML
./myapp.py   224             0      0           0
./myapp.py   225             0      0           0
./myapp.py   226             0      0           0              @app.route('/initialize')
./myapp.py   227             0      0           0              def get_initialize():
./myapp.py   228       47338.0      1       47338                  db_initialize()
./myapp.py   229           1.0      1           1                  return ''
./myapp.py   232             0      0           0              def get_candidate_id_by_name(name):
./myapp.py   233         2.025   4539        9192                  return constants.QUOTED_CANDIDATES.get(name, None)
